decision_gw,squad_no,start_ft,wait,total_transfers,spend_predicted,spend_realised,hold_predicted,hold_realised,hold_edge
10,0,1,1,2,16.00581689019441,4.0,27.90566438332891,36.0,32.0
10,0,1,2,3,16.00581689019441,27.0,33.61113992782006,31.0,4.0
10,0,2,1,3,31.910514104840217,-3.0,32.809753817791574,41.0,44.0
10,0,2,2,4,31.910514104840217,20.0,39.21578064196203,44.0,24.0
10,1,1,1,2,15.890827308292131,-3.0,27.90566438332891,28.0,31.0
10,1,1,2,3,15.890827308292131,-1.0,33.85270560119477,45.0,46.0
10,1,2,1,3,31.79552452293794,1.0,36.167896835784376,38.0,37.0
10,1,2,2,4,31.79552452293794,-1.0,40.86352781598174,42.0,43.0
10,2,1,1,2,16.00581689019441,17.0,22.791577173111506,30.0,13.0
10,2,1,2,3,16.00581689019441,19.0,30.804633891918627,43.0,24.0
10,2,2,1,3,25.21975652710921,16.0,26.080363132572444,55.0,39.0
10,2,2,2,4,25.21975652710921,36.0,35.420188193700284,38.0,2.0
10,3,1,1,2,16.005816890194467,12.0,20.106102113011815,35.0,23.0
10,3,1,2,3,16.005816890194467,4.0,30.69562276449051,37.0,33.0
10,3,2,1,3,22.1486268021348,14.0,25.010191547474477,22.0,8.0
10,3,2,2,4,22.1486268021348,42.0,34.35392971363905,46.0,4.0
10,4,1,1,2,16.00581689019441,6.0,20.106102113011815,8.0,2.0
10,4,1,2,3,16.00581689019441,6.0,27.237345211444335,7.0,1.0
10,4,2,1,3,22.48007639895792,-26.0,25.010191547474477,13.0,39.0
10,4,2,2,4,22.48007639895792,-3.0,29.447292355409274,13.0,16.0
10,5,1,1,2,16.00581689019441,4.0,20.840100804260544,13.0,9.0
10,5,1,2,3,16.00581689019441,4.0,28.54979762522538,21.0,17.0
10,5,2,1,3,22.525113956496398,-1.0,25.919257142589004,46.0,47.0
10,5,2,2,4,22.525113956496398,-1.0,33.91287266599264,35.0,36.0
10,6,1,1,2,14.315787062207221,19.0,22.791577173111506,51.0,32.0
10,6,1,2,3,14.315787062207221,21.0,29.874178797824385,40.0,19.0
10,6,2,1,3,23.529726699122023,0.0,30.47154879274376,47.0,47.0
10,6,2,2,4,23.529726699122023,20.0,33.03836644599821,39.0,19.0
10,7,1,1,2,15.89082730829216,18.0,22.791577173111506,62.0,44.0
10,7,1,2,3,15.89082730829216,32.0,30.517546467711327,36.0,4.0
10,7,2,1,3,25.10476694520696,24.0,27.44653869962613,59.0,35.0
10,7,2,2,4,25.10476694520696,44.0,34.019323968290934,46.0,2.0
10,8,1,1,2,15.89082730829216,18.0,23.36535533957948,49.0,31.0
10,8,1,2,3,15.89082730829216,48.0,33.36614931402275,64.0,16.0
10,8,2,1,3,25.10476694520696,35.0,29.454934469165067,52.0,17.0
10,8,2,2,4,25.10476694520696,49.0,37.981703615804406,74.0,25.0
10,9,1,1,2,16.005816890194467,23.0,20.106102113011815,38.0,15.0
10,9,1,2,3,16.005816890194467,21.0,27.237345211444335,14.0,-7.0
10,9,2,1,3,22.64987361743721,13.0,28.36833456546728,17.0,4.0
10,9,2,2,4,22.64987361743721,7.0,31.08317622820647,23.0,16.0
12,0,1,1,2,3.582935865683112,1.0,9.884697636331083,-8.0,-9.0
12,0,1,2,3,3.582935865683112,7.0,11.313547648103963,4.0,-3.0
12,0,2,1,3,11.420704649408947,1.0,11.281115006327013,-4.0,-5.0
12,0,2,2,4,11.420704649408947,-19.0,14.25631655264084,-6.0,13.0
12,1,1,1,2,13.972558764351277,1.0,16.466220346935756,-12.0,-13.0
12,1,1,2,3,13.972558764351277,-8.0,22.048013294447543,-30.0,-22.0
12,1,2,1,3,20.522892458293825,4.0,20.704638237412183,-13.0,-17.0
12,1,2,2,4,20.522892458293825,-8.0,24.65166255967563,5.0,13.0
12,2,1,1,2,10.198473487908188,14.0,19.96290009010437,15.0,1.0
12,2,1,2,3,10.198473487908188,16.0,27.646642223522633,-10.0,-26.0
12,2,2,1,3,18.58655333282519,12.0,30.320793459059473,16.0,4.0
12,2,2,2,4,18.58655333282519,5.0,29.892192010431415,20.0,15.0
12,3,1,1,2,8.802533871062678,-8.0,14.63812395119038,5.0,13.0
12,3,1,2,3,8.802533871062678,-2.0,22.378829934297812,-15.0,-13.0
12,3,2,1,3,25.989931990841,-8.0,27.964760005392947,-4.0,4.0
12,3,2,2,4,25.989931990841,-14.0,24.218474624067937,8.0,22.0
12,4,1,1,2,10.19847348790816,17.0,18.96956687278427,18.0,1.0
12,4,1,2,3,10.19847348790816,25.0,19.542237326524713,2.0,-23.0
12,4,2,1,3,19.485869622827153,53.0,22.398790680866938,45.0,-8.0
12,4,2,2,4,19.485869622827153,51.0,22.141089564000566,8.0,-43.0
12,5,1,1,2,10.198473487908188,35.0,19.592221863530398,28.0,-7.0
12,5,1,2,3,10.198473487908188,35.0,19.905280749063223,6.0,-29.0
12,5,2,1,3,16.895617431224423,41.0,22.208798494584755,27.0,-14.0
12,5,2,2,4,16.895617431224423,49.0,25.750129736412788,14.0,-35.0
12,6,1,1,2,8.802533871062678,6.0,24.176777392549184,17.0,11.0
12,6,1,2,3,8.802533871062678,5.0,30.051051941012446,-14.0,-19.0
12,6,2,1,3,22.775092635413955,23.0,32.17299878860237,34.0,11.0
12,6,2,2,4,22.775092635413955,8.0,31.667057493668807,7.0,-1.0
12,7,1,1,2,10.198473487908188,17.0,19.250955037641518,18.0,1.0
12,7,1,2,3,10.198473487908188,22.0,21.28858157769099,-8.0,-30.0
12,7,2,1,3,17.830292544728877,14.0,25.976849664489635,24.0,10.0
12,7,2,2,4,17.830292544728877,14.0,24.319084240875725,-8.0,-22.0
12,8,1,1,2,13.972558764351334,-11.0,19.849909955867957,-2.0,9.0
12,8,1,2,3,13.972558764351334,-10.0,23.75899948090884,0.0,10.0
12,8,2,1,3,22.50427740742424,3.0,26.02341684916135,25.0,22.0
12,8,2,2,4,22.50427740742424,0.0,27.386496179056536,11.0,11.0
12,9,1,1,2,8.802533871062622,4.0,19.2051215391609,15.0,11.0
12,9,1,2,3,8.802533871062622,10.0,20.553700976927416,0.0,-10.0
12,9,2,1,3,13.574379622696881,-3.0,21.821698170215257,11.0,14.0
12,9,2,2,4,13.574379622696881,3.0,15.808435091964412,19.0,16.0
14,0,1,1,2,8.307414102941152,8.0,14.773544005543329,8.0,0.0
14,0,1,2,3,8.307414102941152,1.0,14.477118631349185,10.0,9.0
14,0,2,1,3,17.604829519649513,0.0,19.451987342620555,18.0,18.0
14,0,2,2,4,17.604829519649513,-1.0,17.286351320200424,-5.0,-4.0
14,1,1,1,2,19.909524040116594,-9.0,32.464997674329226,1.0,10.0
14,1,1,2,3,19.909524040116594,-18.0,30.551313690830597,-6.0,12.0
14,1,2,1,3,35.24488791161684,-10.0,44.493342473805285,33.0,43.0
14,1,2,2,4,35.24488791161684,-19.0,41.60845947831851,-7.0,12.0
14,2,1,1,2,19.97119614591236,16.0,33.514690436262015,26.0,10.0
14,2,1,2,3,19.97119614591236,11.0,29.669652135366732,-2.0,-13.0
14,2,2,1,3,33.747697152062244,-1.0,38.00772549711442,18.0,19.0
14,2,2,2,4,33.747697152062244,-1.0,31.399753241865255,18.0,19.0
14,3,1,1,2,19.909524040116594,-11.0,25.05959028126682,22.0,33.0
14,3,1,2,3,19.909524040116594,3.0,28.861676969089075,22.0,19.0
14,3,2,1,3,26.263745212506365,-13.0,34.65351795337648,9.0,22.0
14,3,2,2,4,26.263745212506365,-7.0,30.58897917661639,35.0,42.0
14,4,1,1,2,9.525260696630625,-5.0,21.20160674565986,-6.0,-1.0
14,4,1,2,3,9.525260696630625,5.0,22.358733898852307,-4.0,-9.0
14,4,2,1,3,24.258391094951975,28.0,26.999736306412444,3.0,-25.0
14,4,2,2,4,24.258391094951975,31.0,26.517389427038466,-1.0,-32.0
14,5,1,1,2,17.2291879737204,15.0,21.54084012067426,-8.0,-23.0
14,5,1,2,3,17.2291879737204,11.0,27.108659845457083,-10.0,-21.0
14,5,2,1,3,25.07657682962838,-8.0,33.6303134313637,16.0,24.0
14,5,2,2,4,25.07657682962838,-9.0,35.81404022934527,-10.0,-1.0
14,6,1,1,2,19.909524040116594,-21.0,24.103243673816337,-15.0,6.0
14,6,1,2,3,19.909524040116594,-18.0,28.903318302390034,-15.0,3.0
14,6,2,1,3,23.330940179822846,-33.0,27.781584987460974,-25.0,8.0
14,6,2,2,4,23.330940179822846,-43.0,32.08592112280067,-3.0,40.0
14,7,1,1,2,19.90952404011665,-13.0,21.89986215741186,-3.0,10.0
14,7,1,2,3,19.90952404011665,-18.0,26.291781979791523,3.0,21.0
14,7,2,1,3,27.975854038981538,-16.0,25.719777548787476,10.0,26.0
14,7,2,2,4,27.975854038981538,-15.0,28.064993185320276,9.0,24.0
14,8,1,1,2,19.909524040116594,-3.0,25.894942550886668,7.0,10.0
14,8,1,2,3,19.909524040116594,-21.0,26.02474910375318,-11.0,10.0
14,8,2,1,3,27.169897802349567,-24.0,30.857719842019407,-25.0,-1.0
14,8,2,2,4,27.169897802349567,-34.0,28.751539407348474,-26.0,8.0
14,9,1,1,2,19.97119614591236,9.0,23.369585737140852,23.0,14.0
14,9,1,2,3,19.97119614591236,4.0,17.99300654307291,23.0,19.0
14,9,2,1,3,38.08775412417822,5.0,26.379831927483252,-4.0,-9.0
14,9,2,2,4,38.08775412417822,0.0,16.110197439870518,18.0,18.0
16,0,1,1,2,15.953203918142805,-24.0,25.355324613001102,14.0,38.0
16,0,1,2,3,15.953203918142805,-5.0,39.072275600169945,11.0,16.0
16,0,2,1,3,33.069774448317986,0.0,45.037893374675974,0.0,0.0
16,0,2,2,4,33.069774448317986,1.0,44.52574767839968,24.0,23.0
16,1,1,1,2,15.953203918142805,-1.0,35.71162069562743,13.0,14.0
16,1,1,2,3,15.953203918142805,10.0,38.99926800927034,32.0,22.0
16,1,2,1,3,32.740284553875995,37.0,45.79281363125449,28.0,-9.0
16,1,2,2,4,32.740284553875995,43.0,48.307466360016576,20.0,-23.0
16,2,1,1,2,18.01383625096929,21.0,34.8746897946902,18.0,-3.0
16,2,1,2,3,18.01383625096929,29.0,38.78736323303285,28.0,-1.0
16,2,2,1,3,34.12863982210476,19.0,44.067752378098874,7.0,-12.0
16,2,2,2,4,34.12863982210476,39.0,43.96736148184998,34.0,-5.0
16,3,1,1,2,13.862220799437154,3.0,32.10127679052363,5.0,2.0
16,3,1,2,3,13.862220799437154,9.0,33.29225569176103,23.0,14.0
16,3,2,1,3,35.09759669170231,23.0,50.32739735236984,23.0,0.0
16,3,2,2,4,35.09759669170231,22.0,46.74555571731216,36.0,14.0
16,4,1,1,2,7.6803583390918675,-16.0,17.638944528307064,-21.0,-5.0
16,4,1,2,3,7.6803583390918675,1.0,23.877637463476532,-10.0,-11.0
16,4,2,1,3,16.62736792099838,-19.0,27.192618103681497,-32.0,-13.0
